"ID","Title","Attachments","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","Проверка функциональности """"Зв`язатися з нами"""" на сайте https://zezman.ua/ua","","Anastasiia Telipko","7/4/2025 11:37 AM","","","Medium","","Test Cases","0","","Master","S1","Functional","Anastasiia Telipko","7/4/2025 11:37 AM"
"C2","Проверка функциональности раздела """"Зв`язатися з нами""""","","Anastasiia Telipko","7/4/2025 11:43 AM","","","Medium","","Test Cases","0","","Master","S1","Functional","Anastasiia Telipko","7/4/2025 11:43 AM"
"C3","Проверка функциональности раздела """"Зв""""язатися з нами""""","","Anastasiia Telipko","7/4/2025 11:45 AM","","","Medium","","Test Cases","0","","Master","S1","Other","Anastasiia Telipko","7/4/2025 11:45 AM"
"C4","Проверка функциональности раздела """"Зв""""язатися з нами""""","","Anastasiia Telipko","7/4/2025 11:49 AM","","","Medium","","Test Cases","0","","Master","S1","Other","Anastasiia Telipko","7/4/2025 11:49 AM"
"C5","Проверка функциональности раздела """"Зв""""язатися з нами""""","","Anastasiia Telipko","7/4/2025 11:50 AM","","","Medium","","Test Cases","0","","Master","S1","Other","Anastasiia Telipko","7/4/2025 11:50 AM"
"C6","Проверка функциональности раздела """"Зв""""язатися з нами""""","","Anastasiia Telipko","7/4/2025 11:51 AM","","","Medium","","Test Cases","0","","Master","S1","Other","Anastasiia Telipko","7/4/2025 11:51 AM"
"C7","Проверка функциональности раздела """"Зв""""язатися з нами""""","","Anastasiia Telipko","7/4/2025 11:52 AM","","","Medium","","Test Cases","0","","Master","S1","Other","Anastasiia Telipko","7/4/2025 11:52 AM"
"C8","Проверка функциональности элемента """"Логотип Facеbook"""" в разделе """"Зв`язатися з нами""""","","Anastasiia Telipko","7/4/2025 11:56 AM","","","Medium","","Test Cases","0","","Master","S1","Other","Anastasiia Telipko","7/4/2025 11:56 AM"
"C9","Проверка функциональности элемента """"Логотип Instagram"""" в разделе """"Зв`язатися з нами""""","","Anastasiia Telipko","7/4/2025 11:58 AM","","","Medium","","Test Cases","0","","Master","S1","Functional","Anastasiia Telipko","7/4/2025 11:58 AM"
"C10","Проверка функциональности элемента """"Логотип LinkedIn"""" в разделе """"Зв`язатися з нами""""","","Anastasiia Telipko","7/4/2025 12:00 PM","","","Medium","","Test Cases","0","","Master","S1","Functional","Anastasiia Telipko","7/4/2025 12:00 PM"
"C11","Проверка функциональности элемента """"Логотип YouTube"""" в разделе """"Зв`язатися з нами""""","","Anastasiia Telipko","7/4/2025 12:01 PM","","","Medium","","Test Cases","0","","Master","S1","Functional","Anastasiia Telipko","7/4/2025 12:01 PM"
"C12","Проверка функциональности элемента дропдаун меню в разделе """"Зв`язатися з нами""""","","Anastasiia Telipko","7/4/2025 12:09 PM","","","Medium","","Test Cases","0","","Master","S1","Functional","Anastasiia Telipko","7/4/2025 12:09 PM"
"C13","Проверка функциональности окна для введения e-mail в разделе """"Зв`язатися з нами""""","","Anastasiia Telipko","7/4/2025 12:14 PM","","","Medium","","Test Cases","0","","Master","S1","Functional","Anastasiia Telipko","7/4/2025 12:14 PM"
